@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D../irteera/convert-edge2/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data
3,16,15,14,15,16,15,15,15,14,15,15,16,15,16,15,16,15,15,16,15,32,16,16,15,15,15,31,16,16,16,16,16,K2
4,16,15,15,14,15,15,14,15,15,16,15,15,15,14,14,15,16,16,15,15,32,16,16,15,16,15,31,15,15,16,16,16,K2
3,16,16,15,16,15,16,16,15,15,17,16,16,15,15,16,15,16,16,15,15,32,16,16,16,16,16,31,16,15,16,16,16,K2
5,15,9,17,16,17,16,15,15,13,15,17,15,15,15,16,16,16,16,14,15,32,16,16,15,15,15,31,16,15,16,16,16,K2
3,16,16,14,16,14,16,16,15,15,17,15,16,16,15,15,15,15,15,16,16,32,16,16,15,16,15,32,16,16,16,15,15,K2
4,15,16,12,15,14,16,16,16,15,18,15,18,15,16,15,15,15,16,15,16,32,16,16,15,16,15,31,15,15,16,15,15,K2
4,16,16,14,13,13,15,15,16,16,19,14,20,14,15,16,15,15,15,16,17,32,15,16,15,15,16,32,16,15,16,16,15,K2
4,14,16,14,14,15,15,15,15,15,17,16,16,15,15,16,15,17,16,15,15,32,15,16,15,15,15,31,16,16,16,16,16,K2
4,14,16,14,16,15,15,16,15,15,18,16,16,15,15,15,16,15,15,15,16,32,16,16,15,16,15,31,15,15,16,16,16,K2
4,15,16,14,16,16,15,16,15,15,18,15,16,15,15,15,16,15,15,15,16,32,15,16,15,16,15,31,15,15,16,16,16,K2
4,16,16,8,15,13,16,16,15,15,21,16,18,16,14,15,15,15,16,16,15,32,16,16,15,16,15,32,16,15,16,16,15,K2
4,16,16,13,15,13,16,15,15,16,19,15,17,16,15,15,15,16,15,16,16,32,16,16,15,16,15,31,16,15,16,15,15,K2
3,16,16,14,16,14,16,15,16,16,18,16,17,16,15,15,16,15,15,16,16,32,16,16,15,16,15,31,16,16,16,15,16,K2
4,15,15,15,15,16,17,15,15,16,18,15,17,16,15,17,16,16,15,16,16,32,15,16,16,16,15,31,16,16,16,16,15,K2
4,13,16,15,15,15,15,16,14,15,20,16,18,16,17,15,15,15,16,15,15,32,16,16,15,15,16,31,16,15,16,16,15,K2
4,19,17,12,18,18,17,17,14,15,18,15,16,16,17,16,16,14,15,16,15,32,16,16,15,16,15,31,16,15,16,16,16,K2
3,15,16,14,16,14,15,15,16,16,17,16,16,15,15,16,15,15,15,16,16,31,15,16,15,16,15,32,16,15,16,15,16,K2
3,16,16,13,16,13,15,15,16,15,18,16,18,15,15,16,15,16,16,16,16,32,16,15,15,16,15,31,16,16,16,16,16,K2
3,18,12,17,13,15,15,15,17,14,17,15,16,16,15,16,16,15,16,16,16,32,16,16,15,16,16,32,15,16,16,16,16,K2
3,15,15,14,15,15,14,15,16,15,17,15,17,15,16,15,16,15,16,16,16,32,16,15,15,15,15,32,16,16,15,16,15,K2
3,15,14,15,17,16,15,14,15,15,18,16,18,16,15,15,16,15,15,15,15,32,16,15,15,16,16,32,16,16,16,15,15,K2
3,14,16,15,16,16,15,16,15,15,16,15,16,16,16,15,15,16,16,16,15,31,15,15,15,16,16,32,15,16,16,16,15,K2
4,15,15,15,16,16,16,16,15,15,16,16,15,16,16,16,15,16,16,16,15,32,16,15,15,16,15,31,15,16,16,16,16,K2
3,15,16,14,16,15,15,15,16,15,16,15,17,16,15,16,15,16,16,16,15,32,16,15,15,16,15,31,15,15,16,15,16,K2
4,17,15,13,15,14,17,15,15,16,18,16,16,14,16,16,15,16,16,15,17,32,15,16,15,16,15,31,16,15,16,16,16,K2
3,16,15,13,16,15,16,16,15,16,17,15,18,15,15,16,15,15,15,16,16,32,15,15,15,16,16,31,16,16,16,16,15,K2
4,14,14,13,16,14,15,16,15,13,19,17,16,15,15,15,16,16,14,15,16,33,15,15,15,16,15,31,16,15,16,16,16,K2
5,14,16,15,17,18,15,16,14,15,16,15,15,15,15,16,16,16,15,15,16,33,16,16,16,16,16,31,15,15,16,16,16,K2
5,13,19,17,14,16,15,18,16,16,19,16,17,14,13,16,15,15,16,15,16,32,16,16,15,16,15,31,16,15,16,16,15,K2
3,15,16,15,15,16,16,16,14,16,17,15,17,16,15,16,15,16,16,16,15,32,16,15,15,16,16,31,16,16,16,16,16,K2
3,15,15,13,15,14,16,15,15,15,18,16,17,16,15,16,15,16,16,16,15,32,16,15,15,16,15,32,15,16,16,16,15,K2
5,14,11,14,16,16,15,14,16,15,17,17,16,14,15,14,17,16,16,16,17,32,16,15,15,16,15,32,15,16,17,16,15,K2
4,16,16,13,17,16,16,15,16,13,16,15,15,15,15,15,15,15,14,15,15,32,16,16,15,16,15,31,15,15,16,16,16,K2
2,16,16,15,16,15,16,16,16,16,16,16,16,16,15,15,16,15,16,15,16,31,16,16,16,16,16,31,16,15,16,15,16,K2
4,19,15,16,14,13,15,14,18,15,17,14,18,15,16,15,16,16,14,14,15,32,16,16,15,16,15,32,15,15,15,16,15,K2
7,14,22,18,14,21,15,19,15,17,18,18,16,15,14,14,15,16,15,15,17,31,15,15,15,16,15,32,16,15,16,15,15,K2
4,16,16,16,15,17,15,15,17,17,18,15,16,16,15,15,15,15,16,17,17,32,16,16,15,16,15,31,15,15,16,16,15,K2
7,17,14,14,16,19,17,12,13,16,17,16,16,17,14,17,16,13,13,15,17,32,15,16,15,16,15,30,16,15,16,16,14,K2
7,17,13,12,14,15,15,11,17,20,15,14,16,16,14,14,16,15,18,14,17,33,16,16,15,15,15,30,15,15,17,16,15,K2
4,15,17,17,16,17,15,17,15,15,18,17,16,16,15,15,17,15,15,16,15,32,15,15,15,16,15,32,16,16,16,16,16,K2
5,17,16,12,16,12,16,16,16,16,20,15,18,15,15,16,14,15,15,16,17,33,16,16,15,16,15,31,15,15,16,16,15,K2
3,17,15,16,15,16,16,15,17,15,17,15,18,16,15,15,16,16,16,16,15,32,16,16,15,16,16,31,16,16,16,16,15,K2
5,19,16,15,17,21,15,15,17,15,16,17,18,16,15,14,15,14,16,16,15,32,16,16,15,16,15,31,15,15,16,16,16,K2
4,15,15,14,14,16,15,15,15,16,19,15,15,15,16,15,16,16,16,15,15,32,16,16,15,16,15,31,15,15,16,16,15,K2
5,15,17,15,20,18,12,17,17,15,15,16,19,17,14,15,16,16,15,14,13,32,15,15,15,16,15,31,15,16,16,15,16,K2
3,15,15,16,16,15,15,16,16,15,18,15,16,15,15,15,15,15,16,16,15,32,16,15,15,16,15,31,16,15,16,16,15,K2
5,14,17,15,15,14,16,17,14,17,19,15,16,16,11,16,16,16,16,15,16,32,15,16,15,15,16,30,15,15,15,15,15,K2
5,17,17,14,18,15,13,13,17,16,16,16,13,14,15,14,14,15,16,16,14,32,16,16,15,15,15,31,15,15,16,15,16,K2
5,16,17,14,17,15,13,13,17,17,16,16,13,14,15,15,14,15,16,16,15,32,16,16,15,16,16,31,15,15,16,15,16,K2
4,14,13,15,16,17,14,15,16,14,16,16,14,15,16,15,16,16,15,16,14,31,16,15,15,15,16,31,16,15,16,16,16,K2
5,16,17,14,14,17,17,17,14,17,19,16,16,15,15,16,15,14,17,16,16,32,16,16,15,15,15,31,15,15,15,16,16,K2
4,15,17,16,16,16,15,15,15,15,20,16,17,16,16,15,15,16,14,15,17,32,16,15,15,16,16,31,15,16,16,15,16,K2
3,15,16,15,15,16,16,16,16,15,17,15,17,16,15,16,15,16,15,16,15,32,15,16,16,16,16,31,16,15,16,16,16,K2
3,16,15,15,15,16,16,15,16,16,18,16,17,15,16,15,15,16,15,15,16,32,15,16,15,15,16,32,16,15,16,16,15,K2
3,15,15,15,15,15,16,15,16,15,16,16,15,16,15,16,15,16,15,16,16,31,16,15,15,16,15,31,15,16,15,16,15,K2
3,17,17,16,17,16,16,16,16,16,16,15,16,16,15,15,15,16,15,15,16,32,16,16,15,16,15,31,16,16,16,16,16,K2
5,14,10,14,18,18,15,14,15,16,13,16,14,16,16,15,16,16,17,16,17,31,15,16,15,16,16,31,16,15,16,16,16,K2
6,18,14,14,16,16,15,17,17,15,17,15,14,14,14,14,15,15,16,14,15,32,15,16,16,16,15,31,15,16,16,15,16,K2
6,16,13,15,17,19,16,14,16,14,18,15,20,16,12,18,16,16,15,15,17,31,15,16,15,16,15,31,16,16,17,16,16,K2
5,16,14,12,18,18,16,14,14,17,17,14,17,15,12,15,16,15,18,17,16,32,15,16,16,16,16,32,16,16,16,16,16,K2
6,17,20,14,14,17,17,19,15,18,23,16,15,15,15,16,13,15,17,16,18,32,16,16,15,16,16,32,15,15,16,16,15,K2
4,14,17,14,16,16,15,17,15,16,19,14,20,15,13,15,16,15,16,16,15,31,16,16,16,16,16,32,16,16,16,16,16,K2
3,16,16,14,16,14,16,16,15,16,18,15,17,15,14,16,15,15,15,15,15,32,16,16,15,15,15,32,16,15,16,16,16,K2
2,15,15,16,15,15,15,17,15,15,16,16,15,16,16,16,15,15,16,16,15,31,16,16,15,16,16,31,15,16,16,15,16,K2
5,14,15,13,15,16,14,16,16,15,17,15,16,13,14,15,17,15,15,17,15,32,16,15,15,16,15,32,15,16,16,16,15,K2
4,16,15,19,15,17,16,15,16,16,17,16,15,15,15,16,17,16,15,16,17,32,16,16,16,16,16,31,15,16,15,16,16,K2
5,14,16,18,16,16,16,17,15,17,19,16,15,15,14,16,15,16,16,15,17,32,16,16,15,16,15,32,15,16,16,15,16,K2
4,15,16,16,16,16,15,16,15,16,17,16,15,15,15,15,15,16,15,15,15,31,16,16,16,15,16,32,15,15,16,15,15,K2
4,14,19,16,13,14,14,16,15,15,19,15,16,15,13,15,14,15,14,16,15,31,16,16,15,16,16,32,15,15,16,15,15,K2
4,15,14,17,15,17,14,14,16,16,18,14,15,16,15,15,16,15,16,16,16,32,16,16,15,15,15,31,16,15,16,15,16,K2
4,18,15,12,16,20,16,15,13,14,17,13,12,15,16,15,16,15,15,17,15,32,16,16,15,16,16,31,16,15,16,16,16,K2
3,16,16,19,15,16,15,15,15,16,17,15,16,15,15,16,16,15,16,15,16,32,16,16,15,16,16,31,16,15,16,16,16,K2
4,16,14,16,16,18,16,16,16,15,16,16,15,15,16,15,16,16,16,16,15,32,16,15,15,16,15,32,16,16,15,16,16,K2
7,14,16,16,16,21,15,16,14,18,15,18,14,16,15,15,15,17,16,13,18,32,16,15,15,15,15,31,15,15,15,15,15,K2
5,9,16,16,12,15,13,16,16,15,20,16,17,16,17,15,15,17,15,14,15,32,17,14,17,15,16,33,15,16,16,16,14,K2
3,16,15,16,15,17,15,15,16,16,17,15,16,16,16,15,16,16,15,16,16,32,16,15,15,16,15,31,15,16,16,16,16,K2
6,16,13,16,17,17,16,15,15,14,16,15,13,14,15,16,16,15,14,16,16,32,15,16,15,16,15,32,16,15,16,16,16,K2
6,14,20,16,15,17,15,17,17,17,18,17,17,15,14,16,15,16,15,15,18,32,15,15,15,15,16,32,16,15,16,16,14,K2
